Date Time,Power (kW)
8/3/2018 8:30,157.2
8/3/2018 8:35,167.43
8/3/2018 8:40,178.18
8/3/2018 8:45,187.26
8/3/2018 8:50,196.76
8/3/2018 8:55,206.21
8/3/2018 9:00,217.24
8/3/2018 9:05,227.73
8/3/2018 9:10,237.66
8/3/2018 9:15,246.6
8/3/2018 9:20,256.32
8/3/2018 9:25,267.62
8/3/2018 9:30,276.08
8/3/2018 9:35,284.57
8/3/2018 9:40,293.39
8/3/2018 9:45,303.78
8/3/2018 9:50,311.6
8/3/2018 9:55,319.38
8/3/2018 10:00,328.32
8/3/2018 10:05,336.54
8/3/2018 10:10,343.2
8/3/2018 10:15,352.88
8/3/2018 10:20,360.74
8/3/2018 10:25,367.84
8/3/2018 10:30,375.62
8/3/2018 10:35,382.82
8/3/2018 10:40,390
8/3/2018 10:45,397.58
8/3/2018 10:50,405
8/3/2018 10:55,409.88
8/3/2018 11:00,416.52
8/3/2018 11:05,424.14
8/3/2018 11:10,429.86
8/3/2018 11:15,435.98
8/3/2018 11:20,439.56
8/3/2018 11:25,446.7
8/3/2018 11:30,453.22
8/3/2018 11:35,458.52
8/3/2018 11:40,464.15
8/3/2018 11:45,467.56
8/3/2018 11:50,474
8/3/2018 11:55,476.88
8/3/2018 12:00,481.07
8/3/2018 12:05,484.18
8/3/2018 12:10,488.16
8/3/2018 12:15,493.1
8/3/2018 12:20,493.57
8/3/2018 12:25,494.5
8/3/2018 12:30,501.66
8/3/2018 12:35,504.15
8/3/2018 12:40,506.88
8/3/2018 12:45,510.14
8/3/2018 12:50,512.42
8/3/2018 12:55,515.08
8/3/2018 13:00,514.76
8/3/2018 13:05,516.52
8/3/2018 13:10,513.42
8/3/2018 13:15,516.22
8/3/2018 13:20,517.48
8/3/2018 13:25,517.17
8/3/2018 13:30,515.34
8/3/2018 13:35,516.98
8/3/2018 13:40,516.62
8/3/2018 13:45,517.73
8/3/2018 13:50,517.72
8/3/2018 13:55,519.7
8/3/2018 14:00,521.5
8/3/2018 14:05,516.2
8/3/2018 14:10,514.15
8/3/2018 14:15,515
8/3/2018 14:20,513.04
8/3/2018 14:25,511.1
8/3/2018 14:30,504.38
8/3/2018 14:35,498.1
8/3/2018 14:40,495.96
8/3/2018 14:45,498.05
8/3/2018 14:50,494.73
8/3/2018 14:55,490.62
8/3/2018 15:00,487.3
8/3/2018 15:05,483.93
8/3/2018 15:10,481.13
8/3/2018 15:15,477.82
8/3/2018 15:20,475.72
8/3/2018 15:25,469.72
8/3/2018 15:30,464.98
8/3/2018 15:35,458.18
8/3/2018 15:40,454.54
8/3/2018 15:45,449.7
8/3/2018 15:50,444.45
8/3/2018 15:55,437.92
8/3/2018 16:00,430.8
8/3/2018 16:05,423.22
8/3/2018 16:10,418.93
8/3/2018 16:15,411.32
8/3/2018 16:20,402.92
8/3/2018 16:25,396.27
8/3/2018 16:30,387.36
8/3/2018 16:35,378.66
8/3/2018 16:40,370.88
8/3/2018 16:45,362.82
8/3/2018 16:50,353.93
8/3/2018 16:55,345.2
8/3/2018 17:00,337.1
8/3/2018 17:05,327.22
8/3/2018 17:10,319.25
8/3/2018 17:15,309.94
8/3/2018 17:20,300.22
8/3/2018 17:25,290.11
8/3/2018 17:30,280.74
8/3/2018 17:35,270.54
8/3/2018 17:40,259.6
8/3/2018 17:45,247.17
8/3/2018 17:50,236.41
8/3/2018 17:55,227.55
8/3/2018 18:00,215.69
8/3/2018 18:05,202.74
8/3/2018 18:10,191
8/3/2018 18:15,180.52
8/3/2018 18:20,167.59
8/3/2018 18:25,154.39
8/3/2018 18:30,138.84
8/3/2018 18:35,124.66
8/3/2018 18:40,109.98
8/3/2018 18:45,94.14
8/3/2018 18:50,79.37
8/3/2018 18:55,68.51
8/3/2018 19:00,57.43
8/3/2018 19:05,44.98
8/3/2018 19:10,34.09
8/3/2018 19:15,26.76
8/3/2018 19:20,20.87
8/3/2018 19:25,14.46
8/3/2018 19:30,10.23
8/3/2018 19:35,6.67
8/3/2018 19:40,3.49
8/3/2018 19:45,1.02
8/3/2018 19:50,0
8/3/2018 19:55,0
8/3/2018 20:00,0
8/3/2018 20:05,0
8/3/2018 20:10,0
8/3/2018 20:15,0
8/3/2018 20:20,0
8/3/2018 20:25,0
8/3/2018 20:30,0
8/3/2018 20:35,0
8/3/2018 20:40,0
8/3/2018 20:45,0
8/3/2018 20:50,0
8/3/2018 20:55,0
8/3/2018 21:00,0
8/3/2018 21:05,0
8/3/2018 21:10,0
8/3/2018 21:15,0
8/3/2018 21:20,0
8/3/2018 21:25,0
8/3/2018 21:30,0
8/3/2018 21:35,0
8/3/2018 21:40,0
8/3/2018 21:45,0
8/3/2018 21:50,0
8/3/2018 21:55,0
8/3/2018 22:00,0
8/3/2018 22:05,0
8/3/2018 22:10,0
8/3/2018 22:15,0
8/3/2018 22:20,0
8/3/2018 22:25,0
8/3/2018 22:30,0
8/3/2018 22:35,0
8/3/2018 22:40,0
8/3/2018 22:45,0
8/3/2018 22:50,0
8/3/2018 22:55,0
8/3/2018 23:00,0
8/3/2018 23:05,0
8/3/2018 23:10,0
8/3/2018 23:15,0
8/3/2018 23:20,0
8/3/2018 23:25,0
8/3/2018 23:30,0
8/3/2018 23:35,0
8/3/2018 23:40,0
8/3/2018 23:45,0
8/3/2018 23:50,0
8/3/2018 23:55,0
8/4/2018 0:00,0
8/4/2018 0:05,0
8/4/2018 0:10,0
8/4/2018 0:15,0
8/4/2018 0:20,0
8/4/2018 0:25,0
8/4/2018 0:30,0
8/4/2018 0:35,0
8/4/2018 0:40,0
8/4/2018 0:45,0
8/4/2018 0:50,0
8/4/2018 0:55,0
8/4/2018 1:00,0
8/4/2018 1:05,0
8/4/2018 1:10,0
8/4/2018 1:15,0
8/4/2018 1:20,0
8/4/2018 1:25,0
8/4/2018 1:30,0
8/4/2018 1:35,0
8/4/2018 1:40,0
8/4/2018 1:45,0
8/4/2018 1:50,0
8/4/2018 1:55,0
8/4/2018 2:00,0
8/4/2018 2:05,0
8/4/2018 2:10,0
8/4/2018 2:15,0
8/4/2018 2:20,0
8/4/2018 2:25,0
8/4/2018 2:30,0
8/4/2018 2:35,0
8/4/2018 2:40,0
8/4/2018 2:45,0
8/4/2018 2:50,0
8/4/2018 2:55,0
8/4/2018 3:00,0
8/4/2018 3:05,0
8/4/2018 3:10,0
8/4/2018 3:15,0
8/4/2018 3:20,0
8/4/2018 3:25,0
8/4/2018 3:30,0
8/4/2018 3:35,0
8/4/2018 3:40,0
8/4/2018 3:45,0
8/4/2018 3:50,0
8/4/2018 3:55,0
8/4/2018 4:00,0
8/4/2018 4:05,0
8/4/2018 4:10,0
8/4/2018 4:15,0
8/4/2018 4:20,0
8/4/2018 4:25,0
8/4/2018 4:30,0
8/4/2018 4:35,0
8/4/2018 4:40,0
8/4/2018 4:45,0
8/4/2018 4:50,0
8/4/2018 4:55,0
8/4/2018 5:00,0
8/4/2018 5:05,0
8/4/2018 5:10,0
8/4/2018 5:15,0
8/4/2018 5:20,0
8/4/2018 5:25,0
8/4/2018 5:30,0
8/4/2018 5:35,0
8/4/2018 5:40,0
8/4/2018 5:45,0
8/4/2018 5:50,0
8/4/2018 5:55,0
8/4/2018 6:00,0
8/4/2018 6:05,0
8/4/2018 6:10,1.26
8/4/2018 6:15,3.94
8/4/2018 6:20,5.8
8/4/2018 6:25,7.54
8/4/2018 6:30,9.26
8/4/2018 6:35,10.92
8/4/2018 6:40,12.62
8/4/2018 6:45,14.31
8/4/2018 6:50,15.74
8/4/2018 6:55,17.44
8/4/2018 7:00,19.82
8/4/2018 7:05,22.54
8/4/2018 7:10,25.96
8/4/2018 7:15,30.42
8/4/2018 7:20,35.74
8/4/2018 7:25,41.23
8/4/2018 7:30,47.4
8/4/2018 7:35,55.19
8/4/2018 7:40,62.78
8/4/2018 7:45,70.87
8/4/2018 7:50,80.18
8/4/2018 7:55,89.91
8/4/2018 8:00,99.8
8/4/2018 8:05,109.72
8/4/2018 8:10,119.62
8/4/2018 8:15,130.8
8/4/2018 8:20,141.44
8/4/2018 8:25,151.29
8/4/2018 8:30,161.25
8/4/2018 8:35,172.54
8/4/2018 8:40,182.95
8/4/2018 8:45,193.87
8/4/2018 8:50,203.94
8/4/2018 8:55,213.38
8/4/2018 9:00,225.26
8/4/2018 9:05,236.57
8/4/2018 9:10,244.73
8/4/2018 9:15,254.65
8/4/2018 9:20,265.34
8/4/2018 9:25,275.16
8/4/2018 9:30,284.94
8/4/2018 9:35,293.85
8/4/2018 9:40,303.35
8/4/2018 9:45,313.26
8/4/2018 9:50,322.32
8/4/2018 9:55,330.38
8/4/2018 10:00,340.16
8/4/2018 10:05,348.98
8/4/2018 10:10,357.27
8/4/2018 10:15,365.14
8/4/2018 10:20,371.96
8/4/2018 10:25,382.52
